job_title,company,location,experience,salary,posted_date,description
Data Analyst,Capital One,"Dallas, TX",1-3 years,$80k-$110k,2024-04-19,Support business decisions through data analysis. SQL expert for complex queries. Python scripting with Pandas for data processing. Visualization with Power BI and Tableau. Statistical methods including Hypothesis Testing. Data quality assessment and cleaning. ETL pipeline understanding. Communication with non-technical stakeholders. Experience with Google Cloud or AWS analytics tools.
Data Scientist,Twitter,Remote,0-2 years,$100k-$140k,2024-07-23,"Build machine learning models for customer analytics and recommendation. Strong Python and SQL skills. Experience with Pandas, NumPy, and scikit-learn. Deep Learning with TensorFlow for advanced models. NLP experience for text analysis. Create reports using Tableau. Statistical analysis including Probability and Bayesian methods. Work with BigQuery and Snowflake data warehouses. Collaborate across teams with strong Communication skills."
Machine Learning Engineer,Meta,"San Francisco, CA",1-3 years,$120k-$160k,2024-06-21,"Build and deploy deep learning models at scale. Proficient in Python, PyTorch, and TensorFlow. Expertise in Transformers, BERT, and GPT architectures. Experience with distributed training and model optimization. Knowledge of UMAP, HDBSCAN, and clustering techniques. Work with large-scale data using Pandas and NumPy. Deploy using Docker and Kubernetes on GCP. MLOps experience with Kubeflow and Vertex AI. Strong mathematical foundation in Probability and Optimization."
Backend Developer,MongoDB,"Toronto, Canada",0-2 years,$120k-$160k,2024-06-01,Design and implement backend infrastructure. Java or Python for server-side development. SQL database design with PostgreSQL or MySQL. MongoDB for document storage. Docker and Kubernetes. AWS or GCP deployment. RESTful API design. Microservices patterns. Message queue systems (Kafka). CI/CD automation. Git version control. Agile development methodology.
Data Engineer,dbt Labs,Remote,2-4 years,$110k-$150k,2024-12-11,Build and maintain data pipelines at scale. Expert in Python and SQL. Experience with Spark and PySpark for distributed processing. Airflow for workflow orchestration. ETL pipeline development. Data Warehouse design with Snowflake or BigQuery. Kafka for real-time streaming. Docker deployment. AWS or GCP cloud services. dbt for data transformation. PostgreSQL and MongoDB. Data quality monitoring. Git version control.
MLOps Engineer,Instacart,"Austin, TX",5-8 years,$130k-$170k,2024-08-14,Design scalable ML platforms for model training and serving. Python and infrastructure expertise. Docker and Kubernetes orchestration. MLflow for experiment tracking and model registry. Airflow for workflow orchestration. AWS SageMaker or GCP Vertex AI. CI/CD with GitHub Actions. Terraform and Ansible for infrastructure. Monitoring with Prometheus and Grafana. Linux and Shell scripting. Model versioning with DVC.
Data Engineer,Great Expectations,Remote,2-4 years,$120k-$160k,2024-02-25,"Develop data platform solutions. Python and SQL for data processing. PySpark for large-scale transformations. Airflow or Prefect for orchestration. Data Warehouse management (Snowflake, BigQuery). Kafka and streaming architectures. Docker containerization. Cloud platforms (AWS, GCP). ETL pipeline development. dbt for transformations. PostgreSQL database management. Data quality frameworks."
MLOps Engineer,Uber,"Austin, TX",3-5 years,$160k-$200k,2024-09-08,Design scalable ML platforms for model training and serving. Python and infrastructure expertise. Docker and Kubernetes orchestration. MLflow for experiment tracking and model registry. Airflow for workflow orchestration. AWS SageMaker or GCP Vertex AI. CI/CD with GitHub Actions. Terraform and Ansible for infrastructure. Monitoring with Prometheus and Grafana. Linux and Shell scripting. Model versioning with DVC.
NLP Engineer,Rasa,Remote,2-4 years,$150k-$190k,2024-12-22,"Build NLP systems for text understanding and generation. Expert in Python, PyTorch, and Transformers. Experience with BERT, GPT, and Hugging Face models. Implement Named Entity Recognition, Sentiment Analysis, and Text Classification. Knowledge of Speech Recognition and language understanding. Build data processing pipelines with Pandas and Spark. Deploy models using Docker and FastAPI. Experience with LLM fine-tuning and RAG. Strong foundation in Statistics and Linear Algebra."
Data Engineer,Airbyte,"New York, NY",4-6 years,$150k-$190k,2024-12-19,Build and maintain data pipelines at scale. Expert in Python and SQL. Experience with Spark and PySpark for distributed processing. Airflow for workflow orchestration. ETL pipeline development. Data Warehouse design with Snowflake or BigQuery. Kafka for real-time streaming. Docker deployment. AWS or GCP cloud services. dbt for data transformation. PostgreSQL and MongoDB. Data quality monitoring. Git version control.
Data Analyst,PwC,"New York, NY",0-2 years,$70k-$90k,2024-02-11,Support business decisions through data analysis. SQL expert for complex queries. Python scripting with Pandas for data processing. Visualization with Power BI and Tableau. Statistical methods including Hypothesis Testing. Data quality assessment and cleaning. ETL pipeline understanding. Communication with non-technical stakeholders. Experience with Google Cloud or AWS analytics tools.
Machine Learning Engineer,OpenAI,"Seattle, WA",3-5 years,$100k-$140k,2024-04-18,"Design and implement machine learning models for production systems. Work with Python, TensorFlow, PyTorch, and scikit-learn. Experience with NLP, Computer Vision, or Recommendation Systems. Deploy models using Docker, Kubernetes, and AWS SageMaker. Strong foundation in Statistics and Linear Algebra. Build data pipelines with Spark and Airflow. Collaborate with cross-functional teams using Agile methodology. Experience with MLflow for experiment tracking. CI/CD pipeline development with Jenkins and GitHub Actions."
Cloud Engineer,Rackspace,"San Francisco, CA",3-5 years,$150k-$190k,2024-11-06,"Design and manage cloud infrastructure on AWS or GCP. Experience with Terraform, Ansible, and CloudFormation. Docker and Kubernetes for container orchestration. CI/CD pipeline design with Jenkins and GitHub Actions. Linux system administration. Networking and security configuration. Monitoring with CloudWatch, Prometheus, and Grafana. Python and Shell scripting. Database management (PostgreSQL, DynamoDB). Cost optimization. Git version control."
Data Engineer,Astronomer,Remote,3-5 years,$150k-$190k,2024-07-08,"Design scalable data infrastructure. Python, SQL, and Spark expertise. Build Data Pipeline systems with Airflow. Data Lake architecture on AWS S3 or GCS. Snowflake or BigQuery for analytics. Kafka for event streaming. ETL and data transformation with dbt. Docker and Kubernetes. Data Modeling and schema design. Hadoop ecosystem knowledge. Git workflow. Problem Solving skills."
NLP Engineer,Grammarly,Remote,4-6 years,$130k-$170k,2024-04-22,"Develop Natural Language Processing solutions at scale. Python and Deep Learning expertise. Transformer models (BERT, GPT) for NLP tasks. Text preprocessing and Feature Engineering for NLP. Sentence-BERT and embedding models. Knowledge of spaCy and NLTK. Build scalable NLP pipelines with Airflow. Deploy on AWS or GCP. Version control with Git. Research background in computational linguistics."
Computer Vision Engineer,Intel,"Austin, TX",4-7 years,$150k-$190k,2024-06-30,"Develop Computer Vision algorithms for autonomous systems. Expert in Python, PyTorch, and TensorFlow. Experience with CNN, Object Detection, and Image Classification. Knowledge of OpenCV and image processing. Deploy models on edge devices. Experience with CUDA and GPU optimization. Build data pipelines for large image datasets. Docker and Kubernetes deployment. Strong foundation in Linear Algebra and Optimization."
Computer Vision Engineer,Qualcomm,"San Francisco, CA",4-7 years,$140k-$180k,2024-08-07,Create visual AI systems for product applications. Computer Vision with PyTorch and TensorFlow. Image Classification and Object Detection models. GAN for image generation. Video analysis and processing. Cloud deployment on GCP. MLflow for experiment tracking. Docker containerization. Strong mathematical foundation. Collaborative team environment.
AI Engineer,Databricks,"Seattle, WA",4-7 years,$150k-$200k,2024-05-25,"Build and deploy AI systems using Large Language Models. Expert in Python, PyTorch, and TensorFlow. Experience with Transformers, BERT, GPT, and Hugging Face. Implement RAG (Retrieval Augmented Generation) pipelines. Work with LangChain and LangGraph for Agentic AI systems. Fine-tuning models for specific tasks. Deploy using Docker and Kubernetes on AWS. Vector Database experience with Pinecone, FAISS, or ChromaDB. Strong foundation in NLP and Deep Learning."
AI Engineer,Mistral AI,"San Francisco, CA",3-5 years,$180k-$250k,2024-03-31,Develop cutting-edge Generative AI applications. Proficient in Python and Deep Learning frameworks. Experience with LLM deployment and Fine-tuning. Build conversational AI using LangChain and RAG. Knowledge of Prompt Engineering and model evaluation. Deploy with FastAPI and Docker. Cloud deployment on GCP or AWS. Experience with Hugging Face Transformers library. Computer Vision and multimodal AI experience. Git and CI/CD practices.
Backend Developer,MongoDB,Remote,0-2 years,$100k-$140k,2024-07-04,Design and implement backend infrastructure. Java or Python for server-side development. SQL database design with PostgreSQL or MySQL. MongoDB for document storage. Docker and Kubernetes. AWS or GCP deployment. RESTful API design. Microservices patterns. Message queue systems (Kafka). CI/CD automation. Git version control. Agile development methodology.
Computer Vision Engineer,Intel,Remote,1-3 years,$120k-$160k,2024-10-20,"Develop Computer Vision algorithms for autonomous systems. Expert in Python, PyTorch, and TensorFlow. Experience with CNN, Object Detection, and Image Classification. Knowledge of OpenCV and image processing. Deploy models on edge devices. Experience with CUDA and GPU optimization. Build data pipelines for large image datasets. Docker and Kubernetes deployment. Strong foundation in Linear Algebra and Optimization."
Data Analyst,JPMorgan,"Dallas, TX",0-2 years,$60k-$80k,2024-02-17,Analyze business data and create reports using SQL and Python. Build dashboards in Tableau and Power BI. Strong Excel and spreadsheet skills. Statistical analysis including Regression and Hypothesis Testing. Data cleaning with Pandas. Create data visualizations with Matplotlib and Seaborn. Knowledge of Data Modeling and ETL processes. Communication skills for presenting to stakeholders. Agile project management.
Data Scientist,Airbnb,Remote,1-3 years,$100k-$140k,2024-08-04,"Build machine learning models for customer analytics and recommendation. Strong Python and SQL skills. Experience with Pandas, NumPy, and scikit-learn. Deep Learning with TensorFlow for advanced models. NLP experience for text analysis. Create reports using Tableau. Statistical analysis including Probability and Bayesian methods. Work with BigQuery and Snowflake data warehouses. Collaborate across teams with strong Communication skills."
Data Engineer,Fivetran,"Denver, CO",4-6 years,$110k-$150k,2024-12-10,"Develop data platform solutions. Python and SQL for data processing. PySpark for large-scale transformations. Airflow or Prefect for orchestration. Data Warehouse management (Snowflake, BigQuery). Kafka and streaming architectures. Docker containerization. Cloud platforms (AWS, GCP). ETL pipeline development. dbt for transformations. PostgreSQL database management. Data quality frameworks."
MLOps Engineer,Netflix,"Austin, TX",3-5 years,$160k-$200k,2024-11-13,"Operationalize machine learning models in production. Python, Docker, Kubernetes expertise. MLflow and Kubeflow for ML lifecycle. Build CI/CD pipelines for model deployment. AWS cloud services (SageMaker, ECR, EKS). Terraform infrastructure management. Monitoring and alerting. Linux administration and Bash scripting. Git workflow management. Collaborative Agile environment. FastAPI for model serving."
NLP Engineer,Meta,"New York, NY",3-5 years,$160k-$200k,2024-11-14,"Build NLP systems for text understanding and generation. Expert in Python, PyTorch, and Transformers. Experience with BERT, GPT, and Hugging Face models. Implement Named Entity Recognition, Sentiment Analysis, and Text Classification. Knowledge of Speech Recognition and language understanding. Build data processing pipelines with Pandas and Spark. Deploy models using Docker and FastAPI. Experience with LLM fine-tuning and RAG. Strong foundation in Statistics and Linear Algebra."
MLOps Engineer,Instacart,"San Francisco, CA",4-7 years,$160k-$200k,2024-04-18,"Operationalize machine learning models in production. Python, Docker, Kubernetes expertise. MLflow and Kubeflow for ML lifecycle. Build CI/CD pipelines for model deployment. AWS cloud services (SageMaker, ECR, EKS). Terraform infrastructure management. Monitoring and alerting. Linux administration and Bash scripting. Git workflow management. Collaborative Agile environment. FastAPI for model serving."
NLP Engineer,Meta,Remote,3-5 years,$130k-$170k,2024-08-07,"Create language understanding systems for product features. Python, PyTorch, and TensorFlow for model development. NLP tasks: Text Classification, Sentiment Analysis, NER. Experience with LLM and Generative AI. Hugging Face Transformers for model deployment. Data processing with Pandas and NumPy. Docker containerization. CI/CD with GitHub Actions. Strong Communication and research skills."
Cloud Engineer,Databricks,"San Francisco, CA",3-5 years,$140k-$180k,2024-07-29,"Architect scalable cloud solutions. Multi-cloud experience (AWS, GCP, Azure). Kubernetes for orchestration. Docker for containerization. Terraform and Ansible for IaC. CI/CD with GitHub Actions. Linux and networking. Security best practices. Monitoring with Grafana. Python and Go for tooling. Database design. Agile methodology."
Data Scientist,Stripe,"San Francisco, CA",3-5 years,$100k-$140k,2024-11-01,"Analyze complex datasets to extract actionable insights. Proficiency in Python, R, and SQL required. Statistical modeling with scikit-learn and advanced techniques. Data visualization with Tableau, Power BI, and Matplotlib. A/B Testing and experiment design expertise. Machine Learning model development and evaluation. Experience with cloud-based analytics on AWS. Feature Engineering for model improvement. Strong Problem Solving and analytical thinking."
MLOps Engineer,Lyft,"Seattle, WA",4-7 years,$140k-$180k,2024-04-25,"Operationalize machine learning models in production. Python, Docker, Kubernetes expertise. MLflow and Kubeflow for ML lifecycle. Build CI/CD pipelines for model deployment. AWS cloud services (SageMaker, ECR, EKS). Terraform infrastructure management. Monitoring and alerting. Linux administration and Bash scripting. Git workflow management. Collaborative Agile environment. FastAPI for model serving."
Machine Learning Engineer,Spotify,"Seattle, WA",3-5 years,$160k-$200k,2024-03-24,"Develop ML pipelines for real-time prediction systems. Strong Python and SQL skills required. Experience with scikit-learn, XGBoost, and LightGBM. Build feature engineering pipelines using Spark and Airflow. Deploy models on AWS using SageMaker and Lambda. Monitoring with Grafana and Prometheus. Knowledge of A/B Testing and experiment design. Git version control and CI/CD practices. Linux command line proficiency."
AI Engineer,Cohere,"Seattle, WA",1-3 years,$170k-$220k,2024-08-14,Design and implement AI solutions for enterprise clients. Deep Learning with PyTorch and TensorFlow. NLP expertise including Named Entity Recognition and Text Classification. Computer Vision for image analysis. LLM fine-tuning and deployment. Build data pipelines with Airflow and Spark. Deploy on Azure or AWS cloud. Generative AI application development. Knowledge of Reinforcement Learning. Collaborative Agile development.
MLOps Engineer,Instacart,Remote,3-5 years,$140k-$180k,2024-01-27,"Build and maintain ML infrastructure and deployment pipelines. Expert in Python, Docker, and Kubernetes. Experience with MLflow, Kubeflow, and Airflow. CI/CD pipeline development with Jenkins and GitHub Actions. AWS or GCP cloud infrastructure. Terraform for infrastructure as code. Model monitoring and observability with Grafana. Linux system administration. Git version control. SageMaker or Vertex AI for managed ML. Model Deployment and Serving at scale."
NLP Engineer,Rasa,"San Francisco, CA",1-3 years,$150k-$190k,2024-01-10,"Develop Natural Language Processing solutions at scale. Python and Deep Learning expertise. Transformer models (BERT, GPT) for NLP tasks. Text preprocessing and Feature Engineering for NLP. Sentence-BERT and embedding models. Knowledge of spaCy and NLTK. Build scalable NLP pipelines with Airflow. Deploy on AWS or GCP. Version control with Git. Research background in computational linguistics."
Data Scientist,Airbnb,"San Francisco, CA",0-2 years,$120k-$160k,2024-05-26,"Analyze complex datasets to extract actionable insights. Proficiency in Python, R, and SQL required. Statistical modeling with scikit-learn and advanced techniques. Data visualization with Tableau, Power BI, and Matplotlib. A/B Testing and experiment design expertise. Machine Learning model development and evaluation. Experience with cloud-based analytics on AWS. Feature Engineering for model improvement. Strong Problem Solving and analytical thinking."
NLP Engineer,Grammarly,Remote,4-6 years,$150k-$190k,2024-06-29,"Build NLP systems for text understanding and generation. Expert in Python, PyTorch, and Transformers. Experience with BERT, GPT, and Hugging Face models. Implement Named Entity Recognition, Sentiment Analysis, and Text Classification. Knowledge of Speech Recognition and language understanding. Build data processing pipelines with Pandas and Spark. Deploy models using Docker and FastAPI. Experience with LLM fine-tuning and RAG. Strong foundation in Statistics and Linear Algebra."
MLOps Engineer,Feast,Remote,5-8 years,$140k-$180k,2024-01-01,"Operationalize machine learning models in production. Python, Docker, Kubernetes expertise. MLflow and Kubeflow for ML lifecycle. Build CI/CD pipelines for model deployment. AWS cloud services (SageMaker, ECR, EKS). Terraform infrastructure management. Monitoring and alerting. Linux administration and Bash scripting. Git workflow management. Collaborative Agile environment. FastAPI for model serving."
Data Analyst,Bank of America,"Chicago, IL",2-4 years,$55k-$75k,2024-12-08,Analyze business data and create reports using SQL and Python. Build dashboards in Tableau and Power BI. Strong Excel and spreadsheet skills. Statistical analysis including Regression and Hypothesis Testing. Data cleaning with Pandas. Create data visualizations with Matplotlib and Seaborn. Knowledge of Data Modeling and ETL processes. Communication skills for presenting to stakeholders. Agile project management.
Data Scientist,DataRobot,"Boston, MA",3-5 years,$100k-$140k,2024-12-15,"Apply statistical methods and machine learning to solve business problems. Proficient in Python, R, and SQL. Experience with Pandas, NumPy, and scikit-learn. Build dashboards using Tableau and Power BI. Conduct A/B Testing and Hypothesis Testing. Deep Learning experience with TensorFlow or PyTorch is a plus. Knowledge of NLP and Text Classification. Work with large datasets using Spark. Strong Communication and presentation skills."
Data Analyst,Goldman Sachs,"Charlotte, NC",1-3 years,$60k-$80k,2024-10-26,Analyze business data and create reports using SQL and Python. Build dashboards in Tableau and Power BI. Strong Excel and spreadsheet skills. Statistical analysis including Regression and Hypothesis Testing. Data cleaning with Pandas. Create data visualizations with Matplotlib and Seaborn. Knowledge of Data Modeling and ETL processes. Communication skills for presenting to stakeholders. Agile project management.
Data Engineer,dbt Labs,"Denver, CO",3-5 years,$150k-$190k,2024-02-19,Build and maintain data pipelines at scale. Expert in Python and SQL. Experience with Spark and PySpark for distributed processing. Airflow for workflow orchestration. ETL pipeline development. Data Warehouse design with Snowflake or BigQuery. Kafka for real-time streaming. Docker deployment. AWS or GCP cloud services. dbt for data transformation. PostgreSQL and MongoDB. Data quality monitoring. Git version control.
Data Analyst,PwC,"Dallas, TX",0-2 years,$60k-$80k,2024-02-23,Support business decisions through data analysis. SQL expert for complex queries. Python scripting with Pandas for data processing. Visualization with Power BI and Tableau. Statistical methods including Hypothesis Testing. Data quality assessment and cleaning. ETL pipeline understanding. Communication with non-technical stakeholders. Experience with Google Cloud or AWS analytics tools.
Data Analyst,Target,Remote,2-4 years,$60k-$80k,2024-12-09,Analyze business data and create reports using SQL and Python. Build dashboards in Tableau and Power BI. Strong Excel and spreadsheet skills. Statistical analysis including Regression and Hypothesis Testing. Data cleaning with Pandas. Create data visualizations with Matplotlib and Seaborn. Knowledge of Data Modeling and ETL processes. Communication skills for presenting to stakeholders. Agile project management.
MLOps Engineer,Uber,"New York, NY",2-4 years,$150k-$190k,2024-06-13,Design scalable ML platforms for model training and serving. Python and infrastructure expertise. Docker and Kubernetes orchestration. MLflow for experiment tracking and model registry. Airflow for workflow orchestration. AWS SageMaker or GCP Vertex AI. CI/CD with GitHub Actions. Terraform and Ansible for infrastructure. Monitoring with Prometheus and Grafana. Linux and Shell scripting. Model versioning with DVC.
AI Engineer,Databricks,"London, UK",2-4 years,$150k-$200k,2024-12-13,Design and implement AI solutions for enterprise clients. Deep Learning with PyTorch and TensorFlow. NLP expertise including Named Entity Recognition and Text Classification. Computer Vision for image analysis. LLM fine-tuning and deployment. Build data pipelines with Airflow and Spark. Deploy on Azure or AWS cloud. Generative AI application development. Knowledge of Reinforcement Learning. Collaborative Agile development.
Backend Developer,Stripe,"San Francisco, CA",1-3 years,$140k-$180k,2024-12-21,"Build scalable backend services and APIs. Expert in Python, Java, or Go. Experience with FastAPI, Flask, or Django. Database design with PostgreSQL and MongoDB. Redis for caching. Docker containerization. Kubernetes orchestration. CI/CD with Jenkins or GitHub Actions. RESTful API and GraphQL design. Linux server management. Git version control. Microservices architecture. Message queues with Kafka or RabbitMQ."
Machine Learning Engineer,Amazon,Remote,3-5 years,$140k-$180k,2024-11-07,"Design and implement machine learning models for production systems. Work with Python, TensorFlow, PyTorch, and scikit-learn. Experience with NLP, Computer Vision, or Recommendation Systems. Deploy models using Docker, Kubernetes, and AWS SageMaker. Strong foundation in Statistics and Linear Algebra. Build data pipelines with Spark and Airflow. Collaborate with cross-functional teams using Agile methodology. Experience with MLflow for experiment tracking. CI/CD pipeline development with Jenkins and GitHub Actions."
Machine Learning Engineer,Microsoft,Remote,5-7 years,$120k-$160k,2024-04-22,"Create end-to-end machine learning solutions for product features. Work with Python, TensorFlow, and PyTorch for model development. Experience with NLP tasks including Text Classification and Sentiment Analysis. Build scalable data pipelines with Kafka and Spark. Deploy using Docker and Kubernetes on Azure. MLflow for model versioning and experiment tracking. Strong foundation in Statistics, Regression, and Classification. Collaborative work in Agile/Scrum environment."
AI Engineer,DeepMind,"San Francisco, CA",2-4 years,$130k-$170k,2024-05-04,Design and implement AI solutions for enterprise clients. Deep Learning with PyTorch and TensorFlow. NLP expertise including Named Entity Recognition and Text Classification. Computer Vision for image analysis. LLM fine-tuning and deployment. Build data pipelines with Airflow and Spark. Deploy on Azure or AWS cloud. Generative AI application development. Knowledge of Reinforcement Learning. Collaborative Agile development.
Backend Developer,Twilio,"San Francisco, CA",0-2 years,$100k-$140k,2024-10-29,Design and implement backend infrastructure. Java or Python for server-side development. SQL database design with PostgreSQL or MySQL. MongoDB for document storage. Docker and Kubernetes. AWS or GCP deployment. RESTful API design. Microservices patterns. Message queue systems (Kafka). CI/CD automation. Git version control. Agile development methodology.
Machine Learning Engineer,Amazon,"New York, NY",1-3 years,$120k-$160k,2024-02-26,"Design and implement machine learning models for production systems. Work with Python, TensorFlow, PyTorch, and scikit-learn. Experience with NLP, Computer Vision, or Recommendation Systems. Deploy models using Docker, Kubernetes, and AWS SageMaker. Strong foundation in Statistics and Linear Algebra. Build data pipelines with Spark and Airflow. Collaborate with cross-functional teams using Agile methodology. Experience with MLflow for experiment tracking. CI/CD pipeline development with Jenkins and GitHub Actions."
Machine Learning Engineer,Meta,"San Francisco, CA",3-5 years,$160k-$200k,2024-12-26,"Build and deploy deep learning models at scale. Proficient in Python, PyTorch, and TensorFlow. Expertise in Transformers, BERT, and GPT architectures. Experience with distributed training and model optimization. Knowledge of UMAP, HDBSCAN, and clustering techniques. Work with large-scale data using Pandas and NumPy. Deploy using Docker and Kubernetes on GCP. MLOps experience with Kubeflow and Vertex AI. Strong mathematical foundation in Probability and Optimization."
Data Analyst,Bank of America,"Dallas, TX",1-3 years,$55k-$75k,2024-05-05,Analyze business data and create reports using SQL and Python. Build dashboards in Tableau and Power BI. Strong Excel and spreadsheet skills. Statistical analysis including Regression and Hypothesis Testing. Data cleaning with Pandas. Create data visualizations with Matplotlib and Seaborn. Knowledge of Data Modeling and ETL processes. Communication skills for presenting to stakeholders. Agile project management.
Backend Developer,Microsoft,Remote,1-3 years,$120k-$160k,2024-11-29,Design and implement backend infrastructure. Java or Python for server-side development. SQL database design with PostgreSQL or MySQL. MongoDB for document storage. Docker and Kubernetes. AWS or GCP deployment. RESTful API design. Microservices patterns. Message queue systems (Kafka). CI/CD automation. Git version control. Agile development methodology.
AI Engineer,Hugging Face,Remote,4-7 years,$130k-$170k,2024-09-16,"Create AI-powered products using state-of-the-art models. Python, PyTorch, TensorFlow expertise required. LLM experience with GPT, BERT, and custom Transformers. RAG implementation with Vector Databases (Pinecone, Weaviate, FAISS). Agentic AI development with LangChain and LangGraph. Model serving and optimization. Docker and Kubernetes deployment. FastAPI for building AI APIs. MLflow for experiment tracking. Strong research and Problem Solving skills."
Data Scientist,Stripe,"Chicago, IL",0-2 years,$120k-$160k,2024-10-01,"Develop predictive models and data-driven insights. Expert in Python, SQL, and Statistics. Use scikit-learn, XGBoost, and LightGBM for modeling. Create visualizations with Matplotlib, Seaborn, and Plotly. Experience with Feature Engineering and Data Modeling. Knowledge of Clustering, Regression, and Classification techniques. Work with cloud platforms like AWS or GCP. Version control with Git. Agile methodology experience."
MLOps Engineer,BentoML,Remote,2-4 years,$140k-$180k,2024-12-18,Design scalable ML platforms for model training and serving. Python and infrastructure expertise. Docker and Kubernetes orchestration. MLflow for experiment tracking and model registry. Airflow for workflow orchestration. AWS SageMaker or GCP Vertex AI. CI/CD with GitHub Actions. Terraform and Ansible for infrastructure. Monitoring with Prometheus and Grafana. Linux and Shell scripting. Model versioning with DVC.
Machine Learning Engineer,Apple,"San Francisco, CA",2-4 years,$120k-$160k,2024-10-29,"Design and implement machine learning models for production systems. Work with Python, TensorFlow, PyTorch, and scikit-learn. Experience with NLP, Computer Vision, or Recommendation Systems. Deploy models using Docker, Kubernetes, and AWS SageMaker. Strong foundation in Statistics and Linear Algebra. Build data pipelines with Spark and Airflow. Collaborate with cross-functional teams using Agile methodology. Experience with MLflow for experiment tracking. CI/CD pipeline development with Jenkins and GitHub Actions."
MLOps Engineer,Uber,Remote,2-4 years,$150k-$190k,2024-09-08,"Operationalize machine learning models in production. Python, Docker, Kubernetes expertise. MLflow and Kubeflow for ML lifecycle. Build CI/CD pipelines for model deployment. AWS cloud services (SageMaker, ECR, EKS). Terraform infrastructure management. Monitoring and alerting. Linux administration and Bash scripting. Git workflow management. Collaborative Agile environment. FastAPI for model serving."
Data Engineer,Databricks,Remote,1-3 years,$150k-$190k,2024-04-23,"Develop data platform solutions. Python and SQL for data processing. PySpark for large-scale transformations. Airflow or Prefect for orchestration. Data Warehouse management (Snowflake, BigQuery). Kafka and streaming architectures. Docker containerization. Cloud platforms (AWS, GCP). ETL pipeline development. dbt for transformations. PostgreSQL database management. Data quality frameworks."
Data Engineer,Airbyte,"Denver, CO",2-4 years,$150k-$190k,2024-08-17,"Design scalable data infrastructure. Python, SQL, and Spark expertise. Build Data Pipeline systems with Airflow. Data Lake architecture on AWS S3 or GCS. Snowflake or BigQuery for analytics. Kafka for event streaming. ETL and data transformation with dbt. Docker and Kubernetes. Data Modeling and schema design. Hadoop ecosystem knowledge. Git workflow. Problem Solving skills."
AI Engineer,Stability AI,Remote,2-4 years,$130k-$170k,2024-06-25,Design and implement AI solutions for enterprise clients. Deep Learning with PyTorch and TensorFlow. NLP expertise including Named Entity Recognition and Text Classification. Computer Vision for image analysis. LLM fine-tuning and deployment. Build data pipelines with Airflow and Spark. Deploy on Azure or AWS cloud. Generative AI application development. Knowledge of Reinforcement Learning. Collaborative Agile development.
Data Analyst,Visa,"Charlotte, NC",2-4 years,$80k-$110k,2024-12-02,Extract insights from large datasets using SQL and Python. Create interactive dashboards with Tableau. Data manipulation with Pandas and NumPy. Statistical analysis and A/B Testing. Report generation and data storytelling. Knowledge of BigQuery and data warehousing. Excel proficiency for financial analysis. Problem Solving and critical thinking. Team collaboration skills.
Machine Learning Engineer,Meta,Remote,5-7 years,$160k-$200k,2024-07-12,"Design and implement machine learning models for production systems. Work with Python, TensorFlow, PyTorch, and scikit-learn. Experience with NLP, Computer Vision, or Recommendation Systems. Deploy models using Docker, Kubernetes, and AWS SageMaker. Strong foundation in Statistics and Linear Algebra. Build data pipelines with Spark and Airflow. Collaborate with cross-functional teams using Agile methodology. Experience with MLflow for experiment tracking. CI/CD pipeline development with Jenkins and GitHub Actions."
AI Engineer,Anyscale,"London, UK",2-4 years,$150k-$200k,2024-04-01,"Create AI-powered products using state-of-the-art models. Python, PyTorch, TensorFlow expertise required. LLM experience with GPT, BERT, and custom Transformers. RAG implementation with Vector Databases (Pinecone, Weaviate, FAISS). Agentic AI development with LangChain and LangGraph. Model serving and optimization. Docker and Kubernetes deployment. FastAPI for building AI APIs. MLflow for experiment tracking. Strong research and Problem Solving skills."
Machine Learning Engineer,OpenAI,"Seattle, WA",2-4 years,$100k-$140k,2024-06-25,"Develop ML pipelines for real-time prediction systems. Strong Python and SQL skills required. Experience with scikit-learn, XGBoost, and LightGBM. Build feature engineering pipelines using Spark and Airflow. Deploy models on AWS using SageMaker and Lambda. Monitoring with Grafana and Prometheus. Knowledge of A/B Testing and experiment design. Git version control and CI/CD practices. Linux command line proficiency."
Cloud Engineer,DigitalOcean,"San Francisco, CA",3-5 years,$140k-$180k,2024-06-16,Build and maintain cloud-native applications. AWS or Azure certification preferred. Terraform for infrastructure as code. Docker and Kubernetes expertise. CI/CD automation. Linux administration and Bash scripting. Networking and security. Monitoring and observability. Python scripting for automation. Cost management and optimization. Collaborative team environment.
MLOps Engineer,Instacart,Remote,3-5 years,$150k-$190k,2024-09-10,"Operationalize machine learning models in production. Python, Docker, Kubernetes expertise. MLflow and Kubeflow for ML lifecycle. Build CI/CD pipelines for model deployment. AWS cloud services (SageMaker, ECR, EKS). Terraform infrastructure management. Monitoring and alerting. Linux administration and Bash scripting. Git workflow management. Collaborative Agile environment. FastAPI for model serving."
AI Engineer,Anthropic,"London, UK",4-7 years,$150k-$200k,2024-08-08,"Create AI-powered products using state-of-the-art models. Python, PyTorch, TensorFlow expertise required. LLM experience with GPT, BERT, and custom Transformers. RAG implementation with Vector Databases (Pinecone, Weaviate, FAISS). Agentic AI development with LangChain and LangGraph. Model serving and optimization. Docker and Kubernetes deployment. FastAPI for building AI APIs. MLflow for experiment tracking. Strong research and Problem Solving skills."
